HGNC ID	Approved symbol	NCBI Gene ID	Ensembl gene ID
HGNC:45169	ACTA2-AS1	100132116	ENSG00000180139
HGNC:131	ACTA3		
HGNC:132	ACTB	60	ENSG00000075624
HGNC:17780	ACTBL2	345651	ENSG00000169067
HGNC:134	ACTBP1	643309	ENSG00000229145
HGNC:135	ACTBP2	62	ENSG00000213763
HGNC:136	ACTBP3	63	
HGNC:137	ACTBP4	64	ENSG00000286676
HGNC:138	ACTBP5		
HGNC:139	ACTBP6	66	ENSG00000203413
HGNC:140	ACTBP7	67	ENSG00000185607
HGNC:141	ACTBP8	68	ENSG00000220267
HGNC:142	ACTBP9	69	ENSG00000266920
HGNC:31819	ACTBP10	446207	
HGNC:33971	ACTBP11	644220	ENSG00000188460
HGNC:150	ACTBP12	100462767	ENSG00000233125
HGNC:45086	ACTBP14	389976	ENSG00000229001
HGNC:55065	ACTBP15	391334	ENSG00000213857
HGNC:143	ACTC1	70	ENSG00000159251
HGNC:51491	ACTE1P	399923	ENSG00000172900
HGNC:144	ACTG1	71	ENSG00000184009
HGNC:146	ACTG1P1	73	ENSG00000178631
HGNC:147	ACTG1P2	74	ENSG00000229129
HGNC:148	ACTG1P3	75	ENSG00000215388
HGNC:149	ACTG1P4	648740	ENSG00000236085
HGNC:151	ACTG1P6	78	
HGNC:152	ACTG1P7	79	
HGNC:153	ACTG1P8	80	
HGNC:154	ACTG1P9	82	ENSG00000229349
HGNC:155	ACTG1P10	83	ENSG00000231340
HGNC:37651	ACTG1P11	414754	ENSG00000229465
HGNC:44496	ACTG1P12	100418921	ENSG00000226642
HGNC:49058	ACTG1P13	100418920	ENSG00000241305
HGNC:49751	ACTG1P14	100418910	ENSG00000230581
HGNC:51495	ACTG1P15	100418951	ENSG00000259904
HGNC:51496	ACTG1P16	100418960	ENSG00000260298
HGNC:51497	ACTG1P17	283693	ENSG00000259315
HGNC:51498	ACTG1P18	100418924	ENSG00000218475
HGNC:51499	ACTG1P19	644160	ENSG00000237999
HGNC:51500	ACTG1P20	644961	ENSG00000241547
HGNC:51501	ACTG1P21	100131291	ENSG00000232672
HGNC:51502	ACTG1P22	100131953	ENSG00000271615
HGNC:51503	ACTG1P23	442097	ENSG00000230362
HGNC:49661	ACTG1P24	441783	ENSG00000226359
HGNC:54872	ACTG1P25	148709	ENSG00000234996
HGNC:145	ACTG2	72	ENSG00000163017
HGNC:156	ACTL2		
HGNC:157	ACTL3		
HGNC:158	ACTL4		
HGNC:159	ACTL5		
HGNC:24124	ACTL6A	86	ENSG00000136518
HGNC:160	ACTL6B	51412	ENSG00000077080
HGNC:161	ACTL7A	10881	ENSG00000187003
